name,_L,_a,_b
Air_Force_Blue_Raf,55.410446147953365,-7.135546355225064,-20.652432885444362
Air_Force_Blue_Usaf,23.98665038647372,26.870262080724157,-55.853577723443024
Air_Superiority_Blue,63.80909691726799,-6.887907712324393,-21.861160933869293
Alabama_Crimson,36.85654657130083,51.16558741445976,20.989477057097094
Alice_Blue,97.17863626262596,-1.3511138696672975,-4.258191426690572
Alizarin_Crimson,49.48242778848778,69.31623963663792,40.23854906983251
Alloy_Orange,52.411165691101814,34.73402587045704,57.44039766531548
Almond,89.39410289495568,3.055735182095898,10.436685546738644
Amaranth,50.652290809036614,69.81519503690315,26.444485159840315
Amber,81.0306935621448,10.384338406406734,83.03002340761529
Amber_Sae/Ece,66.66330164336838,43.80681201774534,73.78589992976077
American_Rose,53.68568328914981,80.91246044266926,41.89558513870612
Amethyst,52.54717743785122,40.30765069533193,-45.39735217825258
Android_Green,75.18699677715668,-30.471903046591585,63.13026598626554
Anti-Flash_White,95.79314441870163,-0.15664819803823393,-0.5926592346250814
Antique_Brass,66.33687731965404,17.07797712602449,25.197694111123248
Antique_Fuchsia,46.06076909911148,27.898200293556386,-12.77931982799525
Antique_Ruby,29.108630266956,44.579402361966395,16.899046543218866
Antique_White,93.73135757818152,1.8366498256468522,11.530202655319677
Ao_English,46.22765770135144,-51.698683483727635,49.897075555228945
Apple_Green,68.83711570304638,-34.125455682427194,69.78218348991159
Apricot,85.92096401551069,11.769655068548435,20.404467181052908
Aqua,91.11330144068016,-48.090596233016704,-14.126329820082262
Aquamarine,92.03413248880135,-45.52678157064105,9.72230196733297
Army_Green,33.53478583729535,-11.636949773409565,28.261893570509088
Arsenic,28.305680326942834,-1.889026111155906,-5.4468029241449
Arylide_Yellow,85.24114780358852,-6.737078485393566,54.4811649466497
Ash_Grey,75.84020862516681,-5.842590494221311,3.1185195869113835
Asparagus,65.42666750720872,-22.97280377252281,28.299503759292133
Atomic_Tangerine,72.89662741492332,33.565002067967306,42.785696035100095
Auburn,37.52638298567689,49.690023330924426,30.544063531395327
Aureolin,92.59042430796495,-14.205580287531994,91.09639967382489
Aurometalsaurus,51.89577477808186,-5.97609333245841,-2.638284627429699
Avocado,49.43545110162002,-32.3584709208804,52.906089483920915
Azure,54.44340692269438,19.397791506470195,-71.3527343439762
Azure_Mist/Web,98.93242090016749,-4.882890849833288,-1.6836042034210186
Baby_Blue,79.74559683758106,-13.556425249065029,-23.11797688723265
Baby_Blue_Eyes,79.70845204041902,-4.4129675250483285,-23.590795924170216
Baby_Pink,82.76125539927901,17.821181775379724,6.819346747000243
Ball_Blue,64.84613376061543,-23.05260442457874,-27.173882134579497
Banana_Mania,92.0489386597058,-0.9534677144513171,26.73955611348604
Banana_Yellow,89.56669851505342,-6.0658921878500855,80.37195265308581
Barn_Red,25.28430177227616,45.05479032148216,36.677186646877935
Battleship_Grey,55.09271722565936,-0.39419868795348423,1.079714055606873
Bazaar,53.27626305562532,13.517019715346967,2.7496413688768984
Beau_Blue,83.69952086447773,-4.278764186895878,-11.541950622420227
Beaver,56.32965266327608,8.905453555702103,13.568490410564182
Beige,95.9491339442556,-4.194965290714114,12.053125529469998
Big_Dip_O’Ruby,35.569980248860546,50.04113387364475,12.637010645932767
Bisque,92.01346832982043,4.429049032686261,19.015722785055967
Bistre,19.30382190962939,6.468487978333492,11.076457145183111
Bittersweet,64.36598144186017,53.36978066912157,36.55360712329858
Bittersweet_Shimmer,48.59289262086601,45.19325297171717,21.865702246376053
Black,0.0,0.0,0.0
Black_Bean,10.990966365641146,23.225741085398557,16.20758065835305
Black_Leather_Jacket,20.438198865046225,-9.640541354875381,5.475445098103693
Black_Olive,25.038358356061416,-1.745546411276555,3.5654698292306275
Blanched_Almond,93.92030116037654,2.1282481132727793,17.0300119037611
Blast-Off_Bronze,52.6541598866888,18.886332645291105,15.524669325195495
Bleu_De_France,57.245871828932735,4.908829489400912,-53.519097461232356
Blizzard_Blue,87.47503286571511,-16.00357340125208,-10.24668086790057
Blond,94.46758760244892,-4.30803501942334,25.440017185654806
Blue,32.29567256501352,79.18559091176559,-107.85730020669489
Blue_Bell,68.07605700512218,9.789515952373595,-23.392787947954453
Blue_Crayola,52.02432841343169,26.327982513974224,-74.7108846153745
Blue_Gray,61.62373249987196,-2.8248742117141235,-31.42782727601865
Blue-Green,58.11713134659975,-20.827696311685294,-26.931099594264317
Blue_Munsell,56.04780953214933,-22.530118392026623,-23.8813455865998
Blue_Ncs,52.948971900080025,-10.889200217211403,-36.69099781940706
Blue_Pigment,27.765219159931995,33.15366712696605,-55.72856606585229
Blue_Ryb,40.68970223847338,53.83348668255491,-93.32226537240537
Blue_Sapphire,38.261632828894385,-11.007004914423051,-23.712507181636198
Blue-Violet,42.187106248591796,69.84298738867295,-74.75998054383652
Blush,57.0764296385486,53.80054574718296,4.706341388442858
Bole,35.03510585103682,21.765106740051916,15.361916984455426
Bondi_Blue,56.948183563064134,-21.12358315662305,-26.476317200275346
Bone,87.33494922406842,0.22199116022975085,9.466246299277415
Boston_University_Red,42.52368593565287,67.69580143181553,56.801260834633204
Bottle_Green,39.339103843420105,-33.764852571757764,8.429147013062622
Boysenberry,34.554986698638984,41.307091199924514,-8.628191150501962
Brandeis_Blue,50.457801050522434,28.852608203946584,-77.82944769620126
Brass,67.64387732333724,-6.72571412507561,52.16399506692772
Brick_Red,48.412073725766035,55.534960006238585,20.195698555538165
Bright_Cerulean,65.44989317694336,-20.81467901530748,-31.22295237386672
Bright_Green,89.08374254786824,-74.42578900315272,84.82250030272354
Bright_Lavender,67.91562063298828,31.07293381103077,-34.4688539633639
